abany,abdefect,abnomore,abhlth,abpoor,abrape,absingle,age,sex,race,hispanic,degree,partyid,relig,relactiv,rincom06,z.age,female,white,black,otherrace,collegeed,protestant,catholic,atheist,z.partyid,z.relactiv,z.rincom06,prochoice,se_prochoice
1,0,0,0,0,1,0,43,1,3,1,0,3,11,3,NA,-0.172659639,0,0,0,1,0,0,0,0,0.088879513,0.222402607,NA,-0.399560203,0.244722964
0,1,0,1,0,1,0,36,2,2,0,0,1,4,0,NA,-0.373671976,1,0,1,0,0,0,0,1,-0.430821698,-0.419133599,NA,-0.438298029,0.256542133
0,1,1,1,1,1,0,41,1,2,0,3,1,2,2,20,-0.230091736,0,0,1,0,1,0,1,0,-0.430821698,0.008557205,0.40180687,0.026786788,0.127635481
0,0,0,0,0,0,0,48,2,2,0,2,3,1,8,19,-0.029079399,1,0,1,0,0,1,0,0,0.088879513,1.291629616,0.319255694,-1.716551686,0.515365984
0,0,0,0,0,0,0,72,2,2,1,1,3,1,3,NA,0.660105756,1,0,1,0,0,1,0,0,0.088879513,0.222402607,NA,-1.716551686,0.515365984
1,1,1,1,1,1,1,27,2,2,0,3,0,1,2,19,-0.632116409,1,0,1,0,1,1,0,0,-0.690672303,0.008557205,0.319255694,0.962057214,0.573059215
1,1,1,1,1,1,1,26,2,2,0,2,1,2,0,18,-0.660832458,1,0,1,0,0,0,1,0,-0.430821698,-0.419133599,0.236704519,0.962057214,0.573059215
0,1,0,1,0,0,0,28,2,3,1,1,1,1,8,NA,-0.603400361,1,0,0,1,0,1,0,0,-0.430821698,1.291629616,NA,-0.689739486,0.316600417
0,1,1,1,1,0,0,37,2,2,0,1,2,1,7,12,-0.344955928,1,0,1,0,0,1,0,0,-0.170971092,1.077784214,-0.258602533,-0.02341919,0.130570103
1,1,1,1,1,1,1,NA,2,2,0,4,NA,5,0,NA,NA,1,0,1,0,1,0,0,0,NA,-0.419133599,NA,0.962057214,0.573059215
1,1,1,1,1,1,1,65,2,2,0,1,0,1,3,15,0.45909342,1,0,1,0,0,1,0,0,-0.690672303,0.222402607,-0.010949007,0.962057214,0.573059215
0,1,0,1,1,1,1,51,1,1,0,4,2,5,2,NA,0.057068746,0,1,0,0,1,0,0,0,-0.170971092,0.008557205,NA,0.085844409,0.132549494
1,0,0,1,1,1,1,23,1,2,0,3,3,1,4,NA,-0.746980602,0,0,1,0,1,1,0,0,0.088879513,0.436248009,NA,0.160079195,0.144841171
0,0,0,0,0,0,0,29,2,3,1,1,3,4,3,15,-0.574684313,1,0,0,1,0,0,0,1,0.088879513,0.222402607,-0.010949007,-1.716551686,0.515365984
1,1,1,1,0,1,0,60,2,1,1,3,1,2,2,NA,0.315513179,1,1,0,0,1,0,1,0,-0.430821698,0.008557205,NA,0.008152161,0.127769447
0,1,1,1,1,1,1,30,1,3,1,3,0,4,0,17,-0.545968265,0,0,0,1,1,0,0,1,-0.690672303,-0.419133599,0.154153344,0.250984039,0.173132724
1,1,1,1,1,1,1,44,1,3,1,4,NA,NA,NA,21,-0.143943591,0,0,0,1,1,NA,NA,NA,NA,NA,0.484358045,0.962057214,0.573059215
1,1,1,1,1,1,1,41,1,1,0,3,2,4,2,NA,-0.230091736,0,1,0,0,1,0,0,1,-0.170971092,0.008557205,NA,0.962057214,0.573059215
0,0,0,1,0,0,0,61,2,1,0,4,1,3,0,NA,0.344229227,1,1,0,0,1,0,0,0,-0.430821698,-0.419133599,NA,-1.102688074,0.377283687
1,1,1,1,1,1,1,56,2,1,0,3,0,2,0,14,0.200648986,1,1,0,0,1,0,1,0,-0.690672303,-0.419133599,-0.093500182,0.962057214,0.573059215
