pres12,vote12,age,race,degree,sei10,rincom06,partyid,sex
2,1,74,1,3,71.7,.i,6,2
2,1,57,1,3,78.3,25,4,1
.i,2,58,1,1,73.90000000000001,22,4,1
.i,2,47,1,1,28.3,17,7,1
.i,2,55,1,1,56.3,.i,3,2
1,1,29,3,3,81.90000000000001,19,1,1
1,1,36,1,3,86.7,20,0,1
2,1,44,1,3,73.09999999999999,21,6,2
2,1,43,1,3,38.3,.i,6,2
2,1,26,1,1,39.2,18,4,1
1,1,64,1,3,76.3,23,1,1
2,1,71,1,1,52,.i,6,2
2,1,67,1,3,76.3,.a,5,1
.i,.d,31,3,3,.i,.i,3,2
.i,3,40,3,3,.i,.i,3,1
.i,2,47,1,1,23.7,14,3,2
2,1,70,1,1,29.5,13,1,2
.n,.n,29,3,3,87.90000000000001,.a,3,2
1,1,69,1,1,67.7,.i,3,1
1,1,61,1,2,52,19,1,2
2,1,62,1,2,38.8,.a,5,2
1,1,21,1,1,38.8,11,0,2
1,1,41,1,1,38.8,18,0,1
1,1,35,1,4,63.7,19,1,1
1,1,67,2,1,24.2,.i,0,2
1,1,76,2,0,43.9,.i,0,2
.i,2,30,1,1,20.7,6,6,1
1,1,55,2,1,25.7,.i,0,2
1,1,63,2,1,23.8,.i,0,2
1,1,26,2,2,41.1,9,2,2
1,1,49,2,0,24.2,4,0,2
.i,2,32,2,1,13.6,1,6,1
1,1,42,1,3,19.6,1,0,2
.i,2,50,1,1,44.9,.i,1,2
.i,2,48,1,0,21.8,.i,3,2
2,1,76,1,1,23.8,.i,6,2
2,1,53,1,1,73.90000000000001,21,5,1
.i,2,31,1,1,26.9,.i,6,2
1,1,37,2,3,52,20,2,2
1,1,46,2,1,24.2,19,0,2
3,1,40,1,4,80.7,17,2,2
1,1,25,2,1,20.8,10,1,2
.i,2,61,3,1,32,20,5,1
1,1,50,1,1,65.3,3,0,2
3,1,51,3,1,32,22,3,1
.n,1,57,1,1,45.4,19,2,1
1,1,79,2,2,24.2,12,2,2
1,1,31,2,1,17.1,6,1,2
1,1,24,2,1,39.2,10,3,2
1,1,61,2,1,52,11,2,2
1,1,62,2,1,38.3,16,1,2
1,1,64,2,3,59.8,.i,3,2
1,1,54,2,1,23.7,18,1,1
.i,2,24,1,1,43,13,3,2
