"freetrade","oppfreetrade","greatoppfreetrade","supfreetrade","msupfreetrade","greatsupfreetrade","age","z.age","female","race4","educ","collegeed","nohsed","hsedorless","z.educ","unemployed","income","z.income","partyid","z.partyid","rep","dem","ind","strongrep","strongdem","ideology","z.ideology","vlib","vcon"
5,1,0,0,0,0,76,0.822261703947519,1,1,2,0,0,1,-0.400200049659269,0,3,-0.398011511403933,2,-0.370427944626292,0,1,0,0,0,3,-0.00423113069192707,0,0
7,1,1,0,0,0,65,0.498507654965945,0,1,2,0,0,1,-0.400200049659269,0,,,1,-0.605278441080946,0,1,0,0,1,2,-0.431190682331835,0,0
6,1,0,0,0,0,43,-0.149000442997201,1,1,6,1,0,0,0.914625575504654,0,4,-0.245621675890078,3,-0.135577448171638,0,0,1,0,0,3,-0.00423113069192707,0,0
6,1,0,0,0,0,83,1.02828700784488,1,1,6,1,0,0,0.914625575504654,0,5,-0.0932318403762219,7,0.803824537646976,1,0,0,1,0,5,0.849687972587889,0,1
2,0,0,1,1,0,56,0.233617978526476,0,1,6,1,0,0,0.914625575504654,0,11,0.821107172706912,5,0.334123544737669,0,0,1,0,0,4,0.422728420947981,0,0
4,0,0,0,0,0,48,-0.00183951164194076,1,1,5,1,0,0,0.585919169213673,0,9,0.516327501679201,3,-0.135577448171638,0,0,1,0,0,1,-0.858150233971744,1,0
7,1,1,0,0,0,73,0.733965145134363,0,1,3,0,0,0,-0.0714936433682883,0,6,0.0591579951376338,4,0.0992730482830151,0,0,1,0,0,4,0.422728420947981,0,0
4,0,0,0,0,0,79,0.910558262760675,0,1,2,0,0,1,-0.400200049659269,0,4,-0.245621675890078,3,-0.135577448171638,0,0,1,0,0,1,-0.858150233971744,1,0
4,0,0,0,0,0,54,0.174753605984372,0,1,5,1,0,0,0.585919169213673,1,8,0.363937666165345,6,0.568974041192322,1,0,0,0,0,4,0.422728420947981,0,0
7,1,1,0,0,0,54,0.174753605984372,0,1,3,0,0,0,-0.0714936433682883,0,6,0.0591579951376338,1,-0.605278441080946,0,1,0,0,1,2,-0.431190682331835,0,0
1,0,0,1,1,1,72,0.70453295886331,1,4,2,0,0,1,-0.400200049659269,0,3,-0.398011511403933,1,-0.605278441080946,0,1,0,0,1,1,-0.858150233971744,1,0
6,1,0,0,0,0,39,-0.26672918808141,0,1,5,1,0,0,0.585919169213673,0,9,0.516327501679201,5,0.334123544737669,0,0,1,0,0,,,,
4,0,0,0,0,0,25,-0.67877979587614,1,4,3,0,0,0,-0.0714936433682883,0,3,-0.398011511403933,4,0.0992730482830151,0,0,1,0,0,,,,
1,0,0,1,1,1,51,0.0864570471712156,0,1,5,1,0,0,0.585919169213673,0,11,0.821107172706912,7,0.803824537646976,0,0,1,1,0,5,0.849687972587889,0,1
2,0,0,1,1,0,73,0.733965145134363,1,1,6,1,0,0,0.914625575504654,0,,,1,-0.605278441080946,0,1,0,0,1,3,-0.00423113069192707,0,0
6,1,0,0,0,0,61,0.380778909881737,0,1,4,0,0,0,0.257212762922693,0,,,1,-0.605278441080946,0,1,0,0,1,2,-0.431190682331835,0,0
5,1,0,0,0,0,62,0.410211096152789,1,1,6,1,0,0,0.914625575504654,0,7,0.21154783065149,6,0.568974041192322,1,0,0,0,0,4,0.422728420947981,0,0
4,0,0,0,0,0,85,1.08715138038699,0,1,1,0,1,1,-0.72890645595025,0,4,-0.245621675890078,7,0.803824537646976,1,0,0,1,0,4,0.422728420947981,0,0
3,0,0,1,0,0,63,0.439643282423841,0,1,3,0,0,0,-0.0714936433682883,0,,,1,-0.605278441080946,0,1,0,0,1,3,-0.00423113069192707,0,0
6,1,0,0,0,0,67,0.55737202750805,0,1,5,1,0,0,0.585919169213673,0,5,-0.0932318403762219,5,0.334123544737669,0,0,1,0,0,4,0.422728420947981,0,0
5,1,0,0,0,0,84,1.05771919411594,1,1,3,0,0,0,-0.0714936433682883,0,5,-0.0932318403762219,5,0.334123544737669,1,0,0,0,0,4,0.422728420947981,0,0
2,0,0,1,1,0,43,-0.149000442997201,1,1,5,1,0,0,0.585919169213673,0,16,1.58305635027619,1,-0.605278441080946,0,1,0,0,1,2,-0.431190682331835,0,0
4,0,0,0,0,0,43,-0.149000442997201,1,1,2,0,0,1,-0.400200049659269,0,,,4,0.0992730482830151,0,0,1,0,0,,,,
1,0,0,1,1,1,44,-0.119568256726149,0,1,2,0,0,1,-0.400200049659269,0,9,0.516327501679201,3,-0.135577448171638,0,0,1,0,0,3,-0.00423113069192707,0,0
7,1,1,0,0,0,55,0.204185792255424,0,1,5,1,0,0,0.585919169213673,0,7,0.21154783065149,2,-0.370427944626292,0,1,0,0,0,5,0.849687972587889,0,1
3,0,0,1,0,0,52,0.115889233442268,0,1,2,0,0,1,-0.400200049659269,0,8,0.363937666165345,4,0.0992730482830151,0,0,1,0,0,4,0.422728420947981,0,0
4,0,0,0,0,0,64,0.469075468694893,0,1,2,0,0,1,-0.400200049659269,0,,,2,-0.370427944626292,0,1,0,0,0,3,-0.00423113069192707,0,0
5,1,0,0,0,0,44,-0.119568256726149,1,1,1,0,1,1,-0.72890645595025,0,3,-0.398011511403933,4,0.0992730482830151,0,0,1,0,0,3,-0.00423113069192707,0,0
4,0,0,0,0,0,69,0.616236400050154,1,1,1,0,1,1,-0.72890645595025,0,2,-0.550401346917789,4,0.0992730482830151,0,0,1,0,0,,,,
4,0,0,0,0,0,71,0.675100772592258,0,3,5,1,0,0,0.585919169213673,0,6,0.0591579951376338,2,-0.370427944626292,0,1,0,0,0,3,-0.00423113069192707,0,0
4,0,0,0,0,0,53,0.14532141971332,1,1,2,0,0,1,-0.400200049659269,0,6,0.0591579951376338,7,0.803824537646976,1,0,0,1,0,5,0.849687972587889,0,1
7,1,1,0,0,0,64,0.469075468694893,0,1,2,0,0,1,-0.400200049659269,0,,,4,0.0992730482830151,0,0,1,0,0,,,,
4,0,0,0,0,0,55,0.204185792255424,1,1,4,0,0,0,0.257212762922693,0,6,0.0591579951376338,1,-0.605278441080946,0,1,0,0,1,2,-0.431190682331835,0,0
3,0,0,1,0,0,77,0.851693890218571,1,1,2,0,0,1,-0.400200049659269,0,5,-0.0932318403762219,1,-0.605278441080946,0,1,0,0,1,3,-0.00423113069192707,0,0
4,0,0,0,0,0,79,0.910558262760675,0,1,2,0,0,1,-0.400200049659269,0,5,-0.0932318403762219,4,0.0992730482830151,0,0,1,0,0,5,0.849687972587889,0,1
4,0,0,0,0,0,62,0.410211096152789,0,1,2,0,0,1,-0.400200049659269,0,9,0.516327501679201,6,0.568974041192322,1,0,0,0,0,4,0.422728420947981,0,0
2,0,0,1,1,0,50,0.0570248609001635,1,1,6,1,0,0,0.914625575504654,0,12,0.973497008220768,1,-0.605278441080946,0,1,0,0,1,1,-0.858150233971744,1,0
4,0,0,0,0,0,41,-0.207864815539306,1,2,6,1,0,0,0.914625575504654,0,3,-0.398011511403933,1,-0.605278441080946,0,1,0,0,1,1,-0.858150233971744,1,0
2,0,0,1,1,0,59,0.321914537339633,0,1,5,1,0,0,0.585919169213673,0,9,0.516327501679201,6,0.568974041192322,1,0,0,0,0,3,-0.00423113069192707,0,0
4,0,0,0,0,0,58,0.292482351068581,0,1,2,0,0,1,-0.400200049659269,0,,,4,0.0992730482830151,0,0,1,0,0,,,,
4,0,0,0,0,0,57,0.263050164797528,1,1,2,0,0,1,-0.400200049659269,0,8,0.363937666165345,7,0.803824537646976,1,0,0,1,0,4,0.422728420947981,0,0
4,0,0,0,0,0,54,0.174753605984372,0,2,2,0,0,1,-0.400200049659269,0,2,-0.550401346917789,1,-0.605278441080946,0,1,0,0,1,2,-0.431190682331835,0,0
5,1,0,0,0,0,75,0.792829517676467,1,1,2,0,0,1,-0.400200049659269,0,4,-0.245621675890078,2,-0.370427944626292,0,1,0,0,0,3,-0.00423113069192707,0,0
4,0,0,0,0,0,75,0.792829517676467,1,1,2,0,0,1,-0.400200049659269,0,6,0.0591579951376338,6,0.568974041192322,1,0,0,0,0,3,-0.00423113069192707,0,0
4,0,0,0,0,0,66,0.527939841236998,1,1,2,0,0,1,-0.400200049659269,0,2,-0.550401346917789,6,0.568974041192322,1,0,0,0,0,,,,
7,1,1,0,0,0,78,0.881126076489623,0,3,2,0,0,1,-0.400200049659269,0,6,0.0591579951376338,2,-0.370427944626292,0,1,0,0,0,4,0.422728420947981,0,0
4,0,0,0,0,0,56,0.233617978526476,0,1,2,0,0,1,-0.400200049659269,0,9,0.516327501679201,2,-0.370427944626292,0,1,0,0,0,4,0.422728420947981,0,0
5,1,0,0,0,0,38,-0.296161374352462,0,3,2,0,0,1,-0.400200049659269,0,6,0.0591579951376338,2,-0.370427944626292,0,1,0,0,0,3,-0.00423113069192707,0,0
4,0,0,0,0,0,68,0.586804213779102,1,1,1,0,1,1,-0.72890645595025,0,5,-0.0932318403762219,4,0.0992730482830151,0,0,1,0,0,3,-0.00423113069192707,0,0
1,0,0,1,1,1,57,0.263050164797528,0,1,5,1,0,0,0.585919169213673,0,,,1,-0.605278441080946,0,1,0,0,1,1,-0.858150233971744,1,0
7,1,1,0,0,0,55,0.204185792255424,0,3,5,1,0,0,0.585919169213673,0,6,0.0591579951376338,3,-0.135577448171638,0,1,0,0,0,1,-0.858150233971744,1,0
3,0,0,1,0,0,60,0.351346723610685,1,1,6,1,0,0,0.914625575504654,0,12,0.973497008220768,3,-0.135577448171638,0,0,1,0,0,3,-0.00423113069192707,0,0
4,0,0,0,0,0,39,-0.26672918808141,0,1,2,0,0,1,-0.400200049659269,0,4,-0.245621675890078,7,0.803824537646976,1,0,0,1,0,4,0.422728420947981,0,0
2,0,0,1,1,0,57,0.263050164797528,0,2,6,1,0,0,0.914625575504654,0,7,0.21154783065149,1,-0.605278441080946,0,1,0,0,1,3,-0.00423113069192707,0,0
6,1,0,0,0,0,61,0.380778909881737,1,1,2,0,0,1,-0.400200049659269,0,3,-0.398011511403933,7,0.803824537646976,1,0,0,1,0,3,-0.00423113069192707,0,0
4,0,0,0,0,0,34,-0.413890119436671,0,1,1,0,1,1,-0.72890645595025,0,2,-0.550401346917789,7,0.803824537646976,1,0,0,1,0,4,0.422728420947981,0,0
5,1,0,0,0,0,51,0.0864570471712156,0,1,2,0,0,1,-0.400200049659269,0,9,0.516327501679201,1,-0.605278441080946,0,1,0,0,1,2,-0.431190682331835,0,0
5,1,0,0,0,0,41,-0.207864815539306,1,1,5,1,0,0,0.585919169213673,0,9,0.516327501679201,4,0.0992730482830151,0,0,1,0,0,4,0.422728420947981,0,0
